"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Jun 27 15:32:22 UTC 2023","Tue Jun 27 15:32:34 UTC 2023","11442","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Tue Jun 27 15:48:53 UTC 2023","Tue Jun 27 15:48:54 UTC 2023","1120","","20. Admin Portal - Check details","","","","7. Check Current Settings",""
"passed","Tue Jun 27 15:23:15 UTC 2023","Tue Jun 27 15:24:11 UTC 2023","56166","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Tue Jun 27 15:41:32 UTC 2023","Tue Jun 27 15:42:06 UTC 2023","34113","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Tue Jun 27 15:19:38 UTC 2023","Tue Jun 27 15:19:43 UTC 2023","4321","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Tue Jun 27 15:51:45 UTC 2023","Tue Jun 27 15:52:08 UTC 2023","22970","","11. Client Portal - Administration","","","","4. Check Administration Page",""
"passed","Tue Jun 27 15:19:48 UTC 2023","Tue Jun 27 15:20:20 UTC 2023","31754","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Tue Jun 27 15:28:16 UTC 2023","Tue Jun 27 15:28:38 UTC 2023","21736","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Tue Jun 27 15:48:39 UTC 2023","Tue Jun 27 15:48:49 UTC 2023","10196","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Tue Jun 27 15:51:45 UTC 2023","Tue Jun 27 15:51:45 UTC 2023","457","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Tue Jun 27 15:40:13 UTC 2023","Tue Jun 27 15:40:24 UTC 2023","10738","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Tue Jun 27 15:39:13 UTC 2023","Tue Jun 27 15:39:22 UTC 2023","8746","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Tue Jun 27 15:41:31 UTC 2023","Tue Jun 27 15:41:32 UTC 2023","1552","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"skipped","Tue Jun 27 15:17:38 UTC 2023","Tue Jun 27 15:17:38 UTC 2023","5","","15. Test 2 Factor Login is working","","","","Get SMS and apply it in 2FA form",""
"passed","Tue Jun 27 15:17:54 UTC 2023","Tue Jun 27 15:18:18 UTC 2023","23472","","9. Client Portal - Home","","","","1. Check links",""
"passed","Tue Jun 27 15:44:43 UTC 2023","Tue Jun 27 15:44:45 UTC 2023","1872","","23. Change Portfolio for Interactive Brokers","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Tue Jun 27 15:25:03 UTC 2023","Tue Jun 27 15:25:06 UTC 2023","2857","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Tue Jun 27 15:28:26 UTC 2023","Tue Jun 27 15:28:29 UTC 2023","2684","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","3. Complete Investment Choice",""
"passed","Tue Jun 27 15:42:43 UTC 2023","Tue Jun 27 15:42:53 UTC 2023","9784","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Tue Jun 27 15:48:31 UTC 2023","Tue Jun 27 15:48:38 UTC 2023","6775","","12. Client Portal - Forms","","","","3. Expand Superannuation Forms",""
"passed","Tue Jun 27 15:28:53 UTC 2023","Tue Jun 27 15:29:35 UTC 2023","42321","","22. Individual Onboarding for Interactive Brokers","","","","5. Complete Risk Profile",""
"passed","Tue Jun 27 15:19:43 UTC 2023","Tue Jun 27 15:19:43 UTC 2023","475","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","9. Review Final Review",""
"passed","Tue Jun 27 15:17:49 UTC 2023","Tue Jun 27 15:17:53 UTC 2023","4132","","16. Nucleus Wealth Wordpress Site","","","","2. Visit Investment Options",""
"passed","Tue Jun 27 15:39:09 UTC 2023","Tue Jun 27 15:39:27 UTC 2023","18230","","6. Company Account","","","","1. Validate login credentials",""
"passed","Tue Jun 27 15:23:08 UTC 2023","Tue Jun 27 15:23:15 UTC 2023","6983","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Tue Jun 27 15:17:36 UTC 2023","Tue Jun 27 15:17:49 UTC 2023","13290","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Tue Jun 27 15:20:30 UTC 2023","Tue Jun 27 15:21:05 UTC 2023","35233","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"skipped","Tue Jun 27 15:18:47 UTC 2023","Tue Jun 27 15:18:47 UTC 2023","3","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","4. Check Help Modal in Investment Choice",""
"passed","Tue Jun 27 15:40:24 UTC 2023","Tue Jun 27 15:40:28 UTC 2023","4344","","6. Company Account","","","","8. Navigate from Applicants to Final Review",""
"passed","Tue Jun 27 15:27:33 UTC 2023","Tue Jun 27 15:27:49 UTC 2023","16260","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Tue Jun 27 15:32:15 UTC 2023","Tue Jun 27 15:32:22 UTC 2023","6908","","22. Individual Onboarding for Interactive Brokers","","","","10. Complete Bank Details",""
"passed","Tue Jun 27 15:27:28 UTC 2023","Tue Jun 27 15:28:15 UTC 2023","47126","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Jun 27 15:17:53 UTC 2023","Tue Jun 27 15:17:57 UTC 2023","3696","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Tue Jun 27 15:18:37 UTC 2023","Tue Jun 27 15:18:37 UTC 2023","106","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","2.Disclaimer Alert is present",""
"passed","Tue Jun 27 15:42:06 UTC 2023","Tue Jun 27 15:42:09 UTC 2023","2722","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Tue Jun 27 15:17:53 UTC 2023","Tue Jun 27 15:18:20 UTC 2023","27231","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Jun 27 15:18:47 UTC 2023","Tue Jun 27 15:18:59 UTC 2023","11568","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Tue Jun 27 15:28:49 UTC 2023","Tue Jun 27 15:28:53 UTC 2023","3588","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Tue Jun 27 15:40:28 UTC 2023","Tue Jun 27 15:40:29 UTC 2023","461","","6. Company Account","","","","9. Review Final Review",""
"passed","Tue Jun 27 15:44:18 UTC 2023","Tue Jun 27 15:44:39 UTC 2023","21485","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Tue Jun 27 15:40:00 UTC 2023","Tue Jun 27 15:40:09 UTC 2023","9521","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Tue Jun 27 15:42:17 UTC 2023","Tue Jun 27 15:42:40 UTC 2023","23215","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","7. Complete In SMSF Details",""
"passed","Tue Jun 27 15:18:10 UTC 2023","Tue Jun 27 15:18:32 UTC 2023","21781","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Tue Jun 27 15:33:34 UTC 2023","Tue Jun 27 15:34:42 UTC 2023","68117","","22. Individual Onboarding for Interactive Brokers","","","","14. Complete Final Review",""
"passed","Tue Jun 27 15:28:49 UTC 2023","Tue Jun 27 15:28:49 UTC 2023","58","","22. Individual Onboarding for Interactive Brokers","","","","3. Check SideNav",""
"passed","Tue Jun 27 15:18:43 UTC 2023","Tue Jun 27 15:18:56 UTC 2023","12519","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Tue Jun 27 15:42:09 UTC 2023","Tue Jun 27 15:43:00 UTC 2023","50277","","13. Client Portal - Change Portfolio","","","","6. Submit Change",""
"passed","Tue Jun 27 15:39:27 UTC 2023","Tue Jun 27 15:39:36 UTC 2023","8545","","6. Company Account","","","","2. Create a Company Account",""
"passed","Tue Jun 27 15:18:03 UTC 2023","Tue Jun 27 15:18:06 UTC 2023","2586","","16. Nucleus Wealth Wordpress Site","","","","6. Visit Resources",""
"passed","Tue Jun 27 15:22:48 UTC 2023","Tue Jun 27 15:23:08 UTC 2023","19974","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","12. Complete Applicants",""
"passed","Tue Jun 27 15:48:30 UTC 2023","Tue Jun 27 15:48:31 UTC 2023","1605","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Tue Jun 27 15:38:50 UTC 2023","Tue Jun 27 15:39:13 UTC 2023","22835","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Jun 27 15:18:00 UTC 2023","Tue Jun 27 15:18:03 UTC 2023","3311","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Tue Jun 27 15:30:45 UTC 2023","Tue Jun 27 15:30:49 UTC 2023","3893","","22. Individual Onboarding for Interactive Brokers","","","","8. Check Review Page",""
"passed","Tue Jun 27 15:19:38 UTC 2023","Tue Jun 27 15:19:48 UTC 2023","10125","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Tue Jun 27 15:25:08 UTC 2023","Tue Jun 27 15:25:20 UTC 2023","11873","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Tue Jun 27 15:51:06 UTC 2023","Tue Jun 27 15:51:31 UTC 2023","25056","","21. Forgot password function","","","","2. Reset password",""
"passed","Tue Jun 27 15:50:53 UTC 2023","Tue Jun 27 15:51:05 UTC 2023","12195","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Tue Jun 27 15:41:27 UTC 2023","Tue Jun 27 15:41:31 UTC 2023","3260","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Tue Jun 27 15:29:36 UTC 2023","Tue Jun 27 15:29:42 UTC 2023","6349","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Tue Jun 27 15:18:02 UTC 2023","Tue Jun 27 15:18:37 UTC 2023","35237","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Tue Jun 27 15:29:42 UTC 2023","Tue Jun 27 15:29:48 UTC 2023","5973","","22. Individual Onboarding for Interactive Brokers","","","","7.Complete Screen and Tilts",""
"passed","Tue Jun 27 15:48:33 UTC 2023","Tue Jun 27 15:48:38 UTC 2023","5876","","20. Admin Portal - Check details","","","","2. Account ID 445 detail page",""
"passed","Tue Jun 27 15:28:49 UTC 2023","Tue Jun 27 15:28:56 UTC 2023","7454","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Tue Jun 27 15:48:38 UTC 2023","Tue Jun 27 15:48:40 UTC 2023","1932","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"passed","Tue Jun 27 15:42:53 UTC 2023","Tue Jun 27 15:42:55 UTC 2023","2524","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Tue Jun 27 15:25:06 UTC 2023","Tue Jun 27 15:25:08 UTC 2023","1650","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
